,Data,Hospitalizowane,województwo
145,2020-03-16,31,kujawsko-pomorskie
146,2020-03-17,32,kujawsko-pomorskie
147,2020-03-18,37,kujawsko-pomorskie
148,2020-03-19,35,kujawsko-pomorskie
149,2020-03-20,37,kujawsko-pomorskie
150,2020-03-21,39,kujawsko-pomorskie
151,2020-03-22,38,kujawsko-pomorskie
152,2020-03-23,38,kujawsko-pomorskie
153,2020-03-24,38,kujawsko-pomorskie
154,2020-03-25,41,kujawsko-pomorskie
155,2020-03-26,59,kujawsko-pomorskie
156,2020-03-27,67,kujawsko-pomorskie
157,2020-03-28,74,kujawsko-pomorskie
158,2020-03-29,79,kujawsko-pomorskie
159,2020-03-30,73,kujawsko-pomorskie
160,2020-03-31,75,kujawsko-pomorskie
161,2020-04-03,156,kujawsko-pomorskie
162,2020-04-04,162,kujawsko-pomorskie
163,2020-04-05,176,kujawsko-pomorskie
164,2020-04-06,177,kujawsko-pomorskie
165,2020-04-07,207,kujawsko-pomorskie
166,2020-04-08,227,kujawsko-pomorskie
167,2020-04-09,201,kujawsko-pomorskie
168,2020-04-10,190,kujawsko-pomorskie
169,2020-04-14,260,kujawsko-pomorskie
170,2020-04-15,182,kujawsko-pomorskie
171,2020-04-16,165,kujawsko-pomorskie
172,2020-04-17,168,kujawsko-pomorskie
173,2020-04-18,162,kujawsko-pomorskie
174,2020-04-19,163,kujawsko-pomorskie
175,2020-04-20,146,kujawsko-pomorskie
176,2020-04-21,167,kujawsko-pomorskie
177,2020-04-22,163,kujawsko-pomorskie
178,2020-04-23,145,kujawsko-pomorskie
179,2020-04-24,149,kujawsko-pomorskie
180,2020-04-25,153,kujawsko-pomorskie
181,2020-04-26,154,kujawsko-pomorskie
182,2020-04-27,161,kujawsko-pomorskie
183,2020-04-28,159,kujawsko-pomorskie
184,2020-04-29,178,kujawsko-pomorskie
185,2020-04-30,182,kujawsko-pomorskie
186,2020-05-01,178,kujawsko-pomorskie
187,2020-05-02,182,kujawsko-pomorskie
188,2020-05-03,173,kujawsko-pomorskie
189,2020-05-04,161,kujawsko-pomorskie
190,2020-05-05,165,kujawsko-pomorskie
191,2020-05-06,160,kujawsko-pomorskie
192,2020-05-07,157,kujawsko-pomorskie
193,2020-05-08,169,kujawsko-pomorskie
194,2020-05-09,187,kujawsko-pomorskie
195,2020-05-10,153,kujawsko-pomorskie
196,2020-05-11,155,kujawsko-pomorskie
197,2020-05-12,145,kujawsko-pomorskie
198,2020-05-13,137,kujawsko-pomorskie
199,2020-05-14,133,kujawsko-pomorskie
200,2020-05-15,123,kujawsko-pomorskie
201,2020-05-16,116,kujawsko-pomorskie
202,2020-05-17,118,kujawsko-pomorskie
203,2020-05-18,121,kujawsko-pomorskie
204,2020-05-19,115,kujawsko-pomorskie
205,2020-05-20,114,kujawsko-pomorskie
206,2020-05-21,107,kujawsko-pomorskie
207,2020-05-22,59,kujawsko-pomorskie
208,2020-05-23,61,kujawsko-pomorskie
209,2020-05-24,62,kujawsko-pomorskie
210,2020-05-25,94,kujawsko-pomorskie
211,2020-05-26,103,kujawsko-pomorskie
212,2020-05-27,103,kujawsko-pomorskie
213,2020-05-28,92,kujawsko-pomorskie
214,2020-05-29,86,kujawsko-pomorskie
215,2020-05-30,83,kujawsko-pomorskie
216,2020-05-31,80,kujawsko-pomorskie
217,2020-06-01,85,kujawsko-pomorskie
218,2020-06-02,78,kujawsko-pomorskie
219,2020-06-03,81,kujawsko-pomorskie
220,2020-06-04,191,kujawsko-pomorskie
221,2020-06-05,192,kujawsko-pomorskie
222,2020-06-06,191,kujawsko-pomorskie
223,2020-06-07,191,kujawsko-pomorskie
224,2020-06-08,191,kujawsko-pomorskie
225,2020-06-09,192,kujawsko-pomorskie
226,2020-06-10,193,kujawsko-pomorskie
227,2020-06-11,194,kujawsko-pomorskie
228,2020-06-12,200,kujawsko-pomorskie
229,2020-06-13,202,kujawsko-pomorskie
230,2020-06-14,203,kujawsko-pomorskie
231,2020-06-15,198,kujawsko-pomorskie
232,2020-06-16,198,kujawsko-pomorskie
233,2020-06-17,198,kujawsko-pomorskie
234,2020-06-18,198,kujawsko-pomorskie
235,2020-06-19,198,kujawsko-pomorskie
236,2020-06-20,200,kujawsko-pomorskie
237,2020-06-21,200,kujawsko-pomorskie
238,2020-06-22,200,kujawsko-pomorskie
239,2020-06-23,200,kujawsko-pomorskie
240,2020-06-24,201,kujawsko-pomorskie
241,2020-06-25,202,kujawsko-pomorskie
242,2020-06-26,203,kujawsko-pomorskie
243,2020-06-27,203,kujawsko-pomorskie
244,2020-06-28,203,kujawsko-pomorskie
245,2020-06-29,203,kujawsko-pomorskie
246,2020-06-30,204,kujawsko-pomorskie
247,2020-07-01,204,kujawsko-pomorskie
248,2020-07-02,204,kujawsko-pomorskie
249,2020-07-03,204,kujawsko-pomorskie
250,2020-07-04,204,kujawsko-pomorskie
251,2020-07-05,204,kujawsko-pomorskie
252,2020-07-06,205,kujawsko-pomorskie
253,2020-07-07,206,kujawsko-pomorskie
254,2020-07-08,206,kujawsko-pomorskie
255,2020-07-09,206,kujawsko-pomorskie
256,2020-07-10,206,kujawsko-pomorskie
257,2020-07-11,206,kujawsko-pomorskie
258,2020-07-12,206,kujawsko-pomorskie
259,2020-07-13,206,kujawsko-pomorskie
260,2020-07-14,206,kujawsko-pomorskie
261,2020-07-15,206,kujawsko-pomorskie
262,2020-07-16,207,kujawsko-pomorskie
263,2020-07-17,207,kujawsko-pomorskie
264,2020-07-18,207,kujawsko-pomorskie
265,2020-07-19,208,kujawsko-pomorskie
266,2020-07-20,208,kujawsko-pomorskie
267,2020-07-21,211,kujawsko-pomorskie
268,2020-07-22,211,kujawsko-pomorskie
269,2020-07-23,211,kujawsko-pomorskie
