Data,Cumultative,daily,percentage growth,dolnośląskie,kujawsko-pomorskie,lubelskie,lubuskie,łódzkie,małopolskie,mazowieckie,opolskie,podkarpackie,podlaskie,pomorskie,śląskie,świętokrzyskie,warmińsko-mazurskie,wielkopolskie,zachodniopomorskie,source
20.05,19 739,471,–,19,1,2,–,16,2,42,13,–,7,5,275,4,–,84,1,[183]
21.05,20 143,405,2,19,3,6,3,6,15,46,8,1,–,5,251,4,–,26,12,[183]
22.05,20 619,476,2,71,3,3,2,37,2,29,10,1,6,4,285,5,–,16,2,[184]
23.05,20 931,316,2,33,2,1,2,12,4,40,4,1,3,10,179,8,1,12,4,[185]
24.05,21 326,395,2,19,1,13,4,23,5,20,3,1,4,6,185,8,–,102,1,[186]
25.05,21 631,341,2,37,1,12,5,15,–,66,5,–,5,7,158,10,–,19,1,[187]
26.05,22 074,445,2,16,–,3,3,22,3,76,3,–,9,2,274,7,4,19,4,[188]
27.05,22 473,399,2,41,1,22,–,28,2,37,9,–,9,4,176,9,–,59,2,[189]
28.05,22 825,352,2,18,–,16,2,46,9,65,12,2,3,2,138,24,–,15,–,[190]
29.05,23 158,333,1,26,–,2,–,30,9,33,9,2,3,4,191,7,–,13,4,[191]
30.05,23 571,416,2,25,–,–,2,35,16,52,11,–,4,–,232,34,–,1,4,[192]
1.06,24 165,379,"1,6",36,–,2,2,57,7,47,9,–,8,5,196,6,–,5,–,
2.06,24 395,236,"1,0",9,1,–,2,8,10,32,14,–,5,1,109,7,–,33,5,[196]
3.06,24 687,292,"1,2",10,1,8,2,54,16,28,19,1,10,–,109,9,–,18,7,[197]
4.06,25 048,361,"1,5",11,4,1,–,112,21,50,8,–,12,1,120,9,–,10,2,[198]
5.06,25 410,362,"1,4",20,2,1,2,47,27,58,8,–,8,4,177,1,1,3,3,
6.06,25 986,576,"2,3",20,–,3,–,62,22,47,19,1,4,4,351,3,–,40,–,
7.06,26 561,575,2,8,–,6,2,119,32,36,8,2,21,1,325,–,–,14,1,
8.06,27 160,599,"2,3",16,1,1,–,77,30,74,9,5,6,–,326,40,1,13,–,
9.06,27 560,400,"1,5",12,1,4,3,45,43,80,10,11,15,5,137,14,–,14,6,[203]
10.06,27 842,282,"1,0",3,3,1,–,38,20,85,13,5,11,5,76,11,–,6,5,[204]
11.06,28 201,359,"1,3",10,2,2,–,73,9,54,3,2,9,–,157,5,4,27,2,[205]
12.06,28 577,376,"1,3",1,2,2,1,90,13,68,9,8,17,2,138,11,–,12,2,[206]
13.06,29 017,440,"1,5",17,4,6,1,37,18,66,18,16,9,6,209,2,–,24,7,[207]
14.06,29 293,375,"1,3",–,12,13,1,39,16,52,5,20,23,1,160,13,1,14,5,[208]
15.06,29 788,396,"1,3",–,–,1,1,73,9,56,8,14,13,–,188,14,–,17,2,[219]
16.06,30 195,407,"1,4",11,1,9,–,62,12,36,8,13,7,2,216,11,6,8,5,
17.06,–,–,–,36,3,2,6,64,23,57,8,19,18,6,209,22,9,12,3,
18.06,–,–,–,11,11,7,0,75,12,44,8,12,13,3,88,18,6,9,0,
19.06,–,–,–,13,3,14,0,63,13,84,2,13,14,2,40,11,0,12,4,
20.06,–,–,–,13,5,5,3,43,23,52,2,7,15,2,114,11,2,7,1,
21.06,–,–,–,2,3,11,1,43,16,39,14,13,15,12,128,6,0,7,1,
22.06,–,–,–,4,0,14,1,48,6,37,0,8,23,2,130,15,2,19,0,
